2020-05-20T01:43:29.808Z,92327,80206,92327,80206
2020-05-20T01:43:39.813Z,7856,7374,100183,87580
2020-05-20T01:43:49.828Z,7926,7374,108109,94954
2020-05-20T01:43:59.803Z,8140,7374,116249,102328
2020-05-20T01:44:09.814Z,7898,7374,124147,109702
2020-05-20T01:44:19.826Z,7856,7374,132003,117076
2020-05-20T01:44:29.801Z,7856,7374,139859,124450
2020-05-20T01:44:39.812Z,7856,7374,147715,131824
2020-05-20T01:44:49.817Z,7856,7374,155571,139198
2020-05-20T01:44:59.788Z,7858,7376,163429,146574
2020-05-20T01:45:09.796Z,7858,7376,171287,153950
